entry_bar,exit_bar,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
32479,32841,2026-03-01 01:00:00+00:00,67313.5,63805.13,74330.24,2.0,0.023,1.977,TP
19134,19178,2024-08-22 00:00:00+00:00,60796.6,58746.19,64897.41,2.0,0.0356,1.9644,TP
25635,25688,2025-05-19 21:00:00+00:00,105392.5,102172.53,111832.45,2.0,0.0393,1.9607,TP
2612,2641,2022-10-03 14:00:00+00:00,19405.5,18928.05,20360.39,2.0,0.0488,1.9512,TP
26679,26878,2025-07-02 09:00:00+00:00,107594.0,104953.54,112874.92,2.0,0.0489,1.9511,TP
22331,22435,2025-01-02 05:00:00+00:00,95556.6,93257.85,100154.1,2.0,0.0499,1.9501,TP
30478,30525,2025-12-07 16:00:00+00:00,89860.5,88029.38,93522.73,2.0,0.0589,1.9411,TP
33523,33531,2026-04-13 13:00:00+00:00,71618.1,70379.55,74095.2,2.0,0.0694,1.9306,TP
7676,7719,2023-05-02 14:00:00+00:00,28352.0,27887.08,29281.83,2.0,0.0732,1.9268,TP
24259,24279,2025-03-23 13:00:00+00:00,85030.0,83717.3,87655.4,2.0,0.0777,1.9223,TP
28311,28395,2025-09-08 09:00:00+00:00,112045.0,110538.15,115058.7,2.0,0.0892,1.9108,TP
31026,31101,2025-12-30 12:00:00+00:00,87995.6,86837.28,90312.25,2.0,0.0912,1.9088,TP
28959,28991,2025-10-05 09:00:00+00:00,122973.8,121418.66,126084.08,2.0,0.0949,1.9051,TP
34136,34180,2026-05-09 02:00:00+00:00,80379.6,79423.1,82292.61,2.0,0.1008,1.8992,TP
27668,27691,2025-08-12 14:00:00+00:00,119390.0,118031.85,122106.3,2.0,0.1055,1.8945,TP
28285,28309,2025-09-07 07:00:00+00:00,110715.8,110283.01,111581.39,2.0,0.307,1.693,TP
