entry_bar,exit_bar,ts,entry,sl,tp,gross_r,fee_r,net_r,reason
278,287,2022-06-28 08:00:00+00:00,21105.0,20447.03,22420.93,-1.0,0.0385,-1.0385,SL
1320,1518,2022-08-10 18:00:00+00:00,23597.5,22729.25,25334.0,-1.0,0.0326,-1.0326,SL
2612,2641,2022-10-03 14:00:00+00:00,19405.5,18928.05,20360.39,2.0,0.0488,1.9512,TP
2946,2994,2022-10-17 12:00:00+00:00,19506.0,19071.91,20374.18,-1.0,0.0539,-1.0539,SL
5491,5520,2023-01-31 13:00:00+00:00,23117.5,22783.19,23786.11,-1.0,0.083,-1.083,SL
5540,5626,2023-02-02 14:00:00+00:00,23612.0,22732.24,25371.51,-1.0,0.0322,-1.0322,SL
6035,6040,2023-02-23 05:00:00+00:00,24401.9,23763.01,25679.67,-1.0,0.0458,-1.0458,SL
6785,6811,2023-03-26 11:00:00+00:00,27848.0,27297.58,28948.85,-1.0,0.0607,-1.0607,SL
7296,7301,2023-04-16 18:00:00+00:00,30495.9,30083.89,31319.93,-1.0,0.0888,-1.0888,SL
7676,7719,2023-05-02 14:00:00+00:00,28352.0,27887.08,29281.83,2.0,0.0732,1.9268,TP
8532,8615,2023-06-07 06:00:00+00:00,26820.7,25343.63,29774.84,-1.0,0.0218,-1.0218,SL
8934,9090,2023-06-24 00:00:00+00:00,30472.5,29755.51,31906.47,-1.0,0.051,-1.051,SL
9160,9235,2023-07-03 10:00:00+00:00,30634.6,30108.26,31687.28,-1.0,0.0698,-1.0698,SL
11402,11441,2023-10-04 20:00:00+00:00,27636.0,27283.69,28340.62,-1.0,0.0941,-1.0941,SL
12085,12109,2023-11-02 07:00:00+00:00,35305.4,34262.8,37390.59,-1.0,0.0406,-1.0406,SL
12953,13015,2023-12-08 11:00:00+00:00,43708.0,42962.0,45200.01,-1.0,0.0703,-1.0703,SL
13751,13797,2024-01-10 17:00:00+00:00,46426.0,44256.7,50764.6,-1.0,0.0257,-1.0257,SL
15937,15982,2024-04-10 19:00:00+00:00,70113.4,67978.65,74382.89,-1.0,0.0394,-1.0394,SL
17370,17406,2024-06-09 12:00:00+00:00,69711.8,69100.83,70933.74,-1.0,0.1369,-1.1369,SL
18905,18984,2024-08-12 11:00:00+00:00,59812.4,57497.44,64442.31,-1.0,0.031,-1.031,SL
19134,19178,2024-08-22 00:00:00+00:00,60796.6,58746.19,64897.41,2.0,0.0356,1.9644,TP
19690,19750,2024-09-14 04:00:00+00:00,60184.3,57521.42,65510.06,-1.0,0.0271,-1.0271,SL
19877,19886,2024-09-21 23:00:00+00:00,63311.5,62650.09,64634.33,-1.0,0.1149,-1.1149,SL
19994,20092,2024-09-26 20:00:00+00:00,64620.3,62837.1,68186.7,-1.0,0.0435,-1.0435,SL
22191,22196,2024-12-27 09:00:00+00:00,96732.9,94959.65,100279.41,-1.0,0.0655,-1.0655,SL
22331,22435,2025-01-02 05:00:00+00:00,95556.6,93257.85,100154.1,2.0,0.0499,1.9501,TP
23824,23930,2025-03-05 10:00:00+00:00,89882.7,81941.28,105765.55,-1.0,0.0136,-1.0136,SL
24259,24279,2025-03-23 13:00:00+00:00,85030.0,83717.3,87655.4,2.0,0.0777,1.9223,TP
25635,25688,2025-05-19 21:00:00+00:00,105392.5,102172.53,111832.45,2.0,0.0393,1.9607,TP
26389,26395,2025-06-20 07:00:00+00:00,105769.9,104310.29,108689.13,-1.0,0.087,-1.087,SL
26679,26878,2025-07-02 09:00:00+00:00,107594.0,104953.54,112874.92,2.0,0.0489,1.9511,TP
27668,27691,2025-08-12 14:00:00+00:00,119390.0,118031.85,122106.3,2.0,0.1055,1.8945,TP
28285,28309,2025-09-07 07:00:00+00:00,110715.8,110283.01,111581.39,2.0,0.307,1.693,TP
28311,28395,2025-09-08 09:00:00+00:00,112045.0,110538.15,115058.7,2.0,0.0892,1.9108,TP
28959,28991,2025-10-05 09:00:00+00:00,122973.8,121418.66,126084.08,2.0,0.0949,1.9051,TP
29031,29059,2025-10-08 09:00:00+00:00,122500.0,121036.44,125427.12,-1.0,0.1004,-1.1004,SL
29371,29378,2025-10-22 13:00:00+00:00,108734.5,107278.41,111646.67,-1.0,0.0896,-1.0896,SL
29840,29843,2025-11-11 02:00:00+00:00,106596.9,105025.27,109740.16,-1.0,0.0814,-1.0814,SL
30478,30525,2025-12-07 16:00:00+00:00,89860.5,88029.38,93522.73,2.0,0.0589,1.9411,TP
31026,31101,2025-12-30 12:00:00+00:00,87995.6,86837.28,90312.25,2.0,0.0912,1.9088,TP
32479,32841,2026-03-01 01:00:00+00:00,67313.5,63805.13,74330.24,2.0,0.023,1.977,TP
33523,33531,2026-04-13 13:00:00+00:00,71618.1,70379.55,74095.2,2.0,0.0694,1.9306,TP
33827,33860,2026-04-26 05:00:00+00:00,77945.0,77186.04,79462.93,-1.0,0.1232,-1.1232,SL
34136,34180,2026-05-09 02:00:00+00:00,80379.6,79423.1,82292.61,2.0,0.1008,1.8992,TP
34197,34220,2026-05-11 15:00:00+00:00,81403.8,80329.59,83552.22,-1.0,0.0909,-1.0909,SL
